Time,h1,h2,h3,h4,v1,v2
8.001000125015627873e+01,1.677692483725355069e-03,7.040576420014876824e-03,1.839959225280335354e-03,8.484403640568025443e-03,1.500000000000000000e+00,5.000000000000000000e-01
8.101012626578322795e+01,1.677692483711780208e-03,7.040576428839704845e-03,1.839959225280331017e-03,8.484403643558409425e-03,1.500000000000000000e+00,5.000000000000000000e-01
8.201025128141017717e+01,1.677692483744781587e-03,7.040576436997327860e-03,1.839959225280328849e-03,8.484403646298006169e-03,1.500000000000000000e+00,5.000000000000000000e-01
8.301037629703714060e+01,1.677692483661523751e-03,7.040576444512182050e-03,1.839959225280327331e-03,8.484403648801727357e-03,1.500000000000000000e+00,5.000000000000000000e-01
8.401050131266408982e+01,1.677692483879171265e-03,7.040576451411245835e-03,1.839959225280326897e-03,8.484403651084181097e-03,1.500000000000000000e+00,5.000000000000000000e-01
8.501062632829103904e+01,1.677692483290006481e-03,7.040576457723502109e-03,1.839959225280326681e-03,8.484403653159628550e-03,1.500000000000000000e+00,5.000000000000000000e-01
8.601075134391800248e+01,1.677692484940172596e-03,7.040576463479413481e-03,1.839959225280326247e-03,8.484403655041937095e-03,1.500000000000000000e+00,5.000000000000000000e-01
8.701087635954495170e+01,1.677692480161425753e-03,7.040576468710438296e-03,1.839959225280326247e-03,8.484403656744554309e-03,1.500000000000000000e+00,5.000000000000000000e-01
8.801100137517190092e+01,1.677692494460134888e-03,7.040576473448597813e-03,1.839959225280326247e-03,8.484403658280459393e-03,1.500000000000000000e+00,5.000000000000000000e-01
8.901112639079885014e+01,1.677692450283690484e-03,7.040576477726074624e-03,1.839959225280326247e-03,8.484403659662154498e-03,1.500000000000000000e+00,5.000000000000000000e-01
9.001125140642581357e+01,1.677692591122679827e-03,7.040576481574862232e-03,1.839959225280326247e-03,8.484403660901621361e-03,1.500000000000000000e+00,5.000000000000000000e-01
9.101137642205276279e+01,1.677692403207489908e-03,7.040576483398315946e-03,1.839959225280326247e-03,8.484403661486351542e-03,1.500000000000000000e+00,5.000000000000000000e-01
9.201150143767971201e+01,1.677692418322866740e-03,7.040576484619658418e-03,1.839959225280326247e-03,8.484403661876395442e-03,1.500000000000000000e+00,5.000000000000000000e-01
9.301162645330667544e+01,1.677692432033466019e-03,7.040576485766792021e-03,1.839959225280326247e-03,8.484403662242725672e-03,1.500000000000000000e+00,5.000000000000000000e-01
